id,title,programme,opening_date,deadline,funding_amount,funding_source,official_link,document_link,eligible_applicants,partnership_requirements,other_requirements,summary,themes,relevance_score,relevance_category,relevance_explanation,deadline_status
eu-ft-horizon-neb-2026-01-participation-03,Understanding inhabitant’s experiences of neighbourhoods to support their health and well-being,Horizon Europe,2026-05-05,2026-12-01,"€15,000,000 total; até €5,000,000/projeto",EU Funding & Tenders Portal,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/horizon-neb-2026-01-participation-03,"",Municípios ou autoridades locais,O texto da oportunidade indica requisitos de consórcio ou parceria; confirmar no aviso oficial.,"",Este convite do programa Horizonte Europa visa compreender as vivências dos habitantes nos seus bairros para promover a saúde e o bem-estar. A iniciativa dirige-se a municípios e autoridades locais para o desenvolvimento de soluções integradas.,accessibility; civic_participation; climate; community_development; environment; equality; inclusion; mobility; public_space,100,Altamente relevante,"Esta oportunidade é relevante porque aceita autarquias ou entidades públicas como candidatas, incide em temas relevantes para políticas locais.",Prazo com margem
eu-ft-horizon-neb-2027-01-regen-03,Revitalising neighbourhoods around existing railway and motorway corridors,Horizon Europe,2027-05-05,2027-12-01,"€11,000,000 total; até €5,500,000/projeto",EU Funding & Tenders Portal,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/horizon-neb-2027-01-regen-03,"",Municípios ou autoridades locais; Entidades públicas,"","","O programa Horizonte Europa financia projetos focados na revitalização de bairros adjacentes a corredores ferroviários e rodoviários existentes, visando a renovação urbana e a melhoria da qualidade de vida nestas zonas específicas.",accessibility; climate; community_development; environment; inclusion; mobility; public_space,100,Altamente relevante,"Esta oportunidade é relevante porque aceita autarquias ou entidades públicas como candidatas, incide em temas relevantes para políticas locais.",Prazo com margem
eu-ft-horizon-cl3-2026-01-drs-05,Climate security and civil preparedness – new ways to develop pre- and post-crisis climate-change related scenarios for a more resilient Europe,Horizon Europe,2026-05-06,2026-11-05,"€4,500,000 total; até €4,500,000/projeto",EU Funding & Tenders Portal,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/horizon-cl3-2026-01-drs-05,"",Entidades públicas,O texto da oportunidade indica requisitos de consórcio ou parceria; confirmar no aviso oficial.,"","Este concurso do Horizonte Europa financia o desenvolvimento de novos métodos para criar cenários de alterações climáticas pré e pós-crise, visando reforçar a segurança climática e a preparação civil para uma Europa mais resiliente.",accessibility; climate; environment; inclusion; mobility,99,Altamente relevante,"Esta oportunidade é relevante porque aceita autarquias ou entidades públicas como candidatas, incide em temas relevantes para políticas locais.",Prazo com margem
eu-ft-horizon-cl3-2026-01-drs-04,Open topic on driving innovation uptake of disaster risk solutions,Horizon Europe,2026-05-06,2026-11-05,"€6,000,000 total; até €3,000,000/projeto",EU Funding & Tenders Portal,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/horizon-cl3-2026-01-drs-04,"",Municípios ou autoridades locais; Entidades públicas,O texto da oportunidade indica requisitos de consórcio ou parceria; confirmar no aviso oficial.,"","O programa Horizonte Europa disponibiliza financiamento para impulsionar a adoção de soluções inovadoras no contexto da redução de riscos de desastres. O objetivo é apoiar projetos que integrem tecnologias ou práticas inovadoras, com uma dotação total de 6 milhões de euros e um limite de 3 milhões por projeto.",accessibility; climate; community_development; digital_public_services; inclusion,99,Altamente relevante,"Esta oportunidade é relevante porque aceita autarquias ou entidades públicas como candidatas, incide em temas relevantes para políticas locais.",Prazo com margem
eu-ft-life-2026-cet-enercom,Facilitating cooperation among energy communities,LIFE,2026-04-21,2026-09-16,"€7,000,000 total",EU Funding & Tenders Portal,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/life-2026-cet-enercom,"",Municípios ou autoridades locais; Entidades públicas,O texto da oportunidade indica requisitos de consórcio ou parceria; confirmar no aviso oficial.,"","Este aviso do programa LIFE visa apoiar a cooperação entre comunidades de energia. A iniciativa, com uma dotação total de 7 milhões de euros, destina-se a entidades públicas e autoridades locais ou municípios interessados em promover este setor.",civic_participation; climate; community_development; inclusion,96,Altamente relevante,"Esta oportunidade é relevante porque aceita autarquias ou entidades públicas como candidatas, incide em temas relevantes para políticas locais, tem janela de preparação curta.",Prazo próximo
pt2030-7906,Inquéritos de mobilidade nas Áreas Metropolitana de Lisboa e do Porto,SUSTENTAVEL2030,2026-09-01,2027-02-26,"€1,000,000",Portugal 2030,https://portugal2030.pt/aviso-2024/inqueritos-de-mobilidade-nas-areas-metropolitana-de-lisboa-e-do-porto/,"",Entidades públicas,"",FC · Norte | AML,"Aviso Portugal 2030 para RSO2.8 - Mobilidade urbana sustentável; FC; Norte | AML. Consultar o plano oficial para confirmar condições, documentação e candidatura.",community_development; environment; mobility; public_space,96,Altamente relevante,"Esta oportunidade é relevante porque aceita autarquias ou entidades públicas como candidatas, tem incidência territorial em Lisboa ou na Área Metropolitana de Lisboa, incide em temas relevantes para políticas locais.",Prazo com margem
pt2030-8000,Rede ferroviária das Áreas Metropolitanas - Mobilidade urbana sustentável na Área Metropolitana de Lisboa,SUSTENTAVEL2030,2027-04-01,2027-08-31,"€110,000,000",Portugal 2030,https://portugal2030.pt/aviso-2024/rede-ferroviaria-das-areas-metropolitanas-mobilidade-urbana-sustentavel-na-area-metropolitana-de-lisboa/,"",Entidades públicas,"",FC · AML,"Aviso Portugal 2030 para RSO2.8 - Mobilidade urbana sustentável; FC; AML. Consultar o plano oficial para confirmar condições, documentação e candidatura.",community_development; environment; mobility; public_space,96,Altamente relevante,"Esta oportunidade é relevante porque aceita autarquias ou entidades públicas como candidatas, tem incidência territorial em Lisboa ou na Área Metropolitana de Lisboa, incide em temas relevantes para políticas locais.",Prazo com margem
imt-mobility-https-www-imt-ip-pt-concurso-aviso-n-o-1-2026-apoio-ao-desenvolvimento-de-projetos-piloto-,Aviso n.º 1/2026 – Apoio ao Desenvolvimento de Projetos Piloto de Logística Urbana,Fundo para a Mobilidade e Transportes,2026-08-02,2026-08-28,"",Fundo para a Mobilidade e Transportes (IMT),https://www.imt-ip.pt/concurso/aviso-n-o-1-2026-apoio-ao-desenvolvimento-de-projetos-piloto-de-logistica-urbana/,https://www.imt-ip.pt/wp-content/uploads/2026/07/Aviso_n.o_1_2026_Apoio_ao_Desenvolvimento_de_Projetos_Piloto_de_Logistica_Urbana.pdf,Entidades privadas,Confirmar os requisitos de parceria no aviso oficial.,"","O Fundo para a Mobilidade e Transportes apoia o desenvolvimento de projetos piloto de logística urbana em Portugal, com exceção de Lisboa e Porto. O objetivo é promover a sustentabilidade, eficiência na distribuição de mercadorias e digitalização. O financiamento tem uma taxa de 80% das despesas elegíveis, com limites específicos consoante o tipo de ação, num total de 1 milhão de euros.",climate; community_development; digital_public_services; environment; inclusion; mobility; public_space,95,Altamente relevante,"Esta oportunidade é relevante porque a elegibilidade das autarquias deve ser confirmada, tem incidência territorial em Lisboa ou na Área Metropolitana de Lisboa, incide em temas relevantes para políticas locais.",Prazo próximo
eu-ft-life-2026-cet-heatcoolplan,"Supporting the delivery of actionable, integrated, and comprehensive local heating and cooling plans",LIFE,2026-04-21,2026-09-16,"€6,500,000 total",EU Funding & Tenders Portal,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/life-2026-cet-heatcoolplan,"",Municípios ou autoridades locais; Entidades públicas,O texto da oportunidade indica requisitos de consórcio ou parceria; confirmar no aviso oficial.,"","Este aviso do programa LIFE visa apoiar a elaboração de planos locais de aquecimento e arrefecimento integrados, compreensivos e exequíveis. A iniciativa pretende fomentar a transição energética a nível local, financiando estratégias que permitam uma gestão mais eficiente da energia térmica em contextos municipais.",climate; community_development; environment; public_space,93,Altamente relevante,"Esta oportunidade é relevante porque aceita autarquias ou entidades públicas como candidatas, incide em temas relevantes para políticas locais, tem janela de preparação curta.",Prazo próximo
eu-ft-horizon-cl3-2026-01-fct-04,"Crime prevention approaches, online and off-line, tackling the nexus between addictions and crime",Horizon Europe,2026-05-06,2026-11-05,"€6,000,000 total; até €3,000,000/projeto",EU Funding & Tenders Portal,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/horizon-cl3-2026-01-fct-04,"",Entidades públicas,O texto da oportunidade indica requisitos de consórcio ou parceria; confirmar no aviso oficial.,"","Este aviso do programa Horizonte Europa financia abordagens de prevenção do crime, tanto online como offline, focadas na relação entre dependências e atividade criminosa. O objetivo é desenvolver estratégias eficazes para mitigar este fenómeno.",civic_participation; climate; equality; inclusion,92,Altamente relevante,"Esta oportunidade é relevante porque aceita autarquias ou entidades públicas como candidatas, incide em temas relevantes para políticas locais.",Prazo com margem
eu-ft-horizon-cl3-2026-01-infra-01,Tools and processes to support stress tests of critical infrastructure,Horizon Europe,2026-05-06,2026-11-05,"€9,670,000 total; até €4,835,000/projeto",EU Funding & Tenders Portal,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/horizon-cl3-2026-01-infra-01,"",Entidades públicas,O texto da oportunidade indica requisitos de consórcio ou parceria; confirmar no aviso oficial.,"","O programa Horizonte Europa disponibiliza financiamento para o desenvolvimento de ferramentas e processos destinados a apoiar testes de esforço em infraestruturas críticas. O aviso visa entidades públicas e integra os esforços de proteção e resiliência deste tipo de infraestruturas, com um orçamento total de 9,67 milhões de euros.",accessibility; climate; environment; inclusion,90,Altamente relevante,"Esta oportunidade é relevante porque aceita autarquias ou entidades públicas como candidatas, incide em temas relevantes para políticas locais.",Prazo com margem
eu-ft-horizon-cl3-2026-01-bm-01,Advanced border surveillance and situational awareness,Horizon Europe,2026-05-06,2026-11-05,"€12,000,000 total; até €6,000,000/projeto",EU Funding & Tenders Portal,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/horizon-cl3-2026-01-bm-01,"","",O texto da oportunidade indica requisitos de consórcio ou parceria; confirmar no aviso oficial.,"",O convite à apresentação de propostas no âmbito do programa Horizonte Europa foca-se no desenvolvimento de tecnologias avançadas para a vigilância de fronteiras e o reforço da consciência situacional na União Europeia.,climate; community_development; environment; equality; inclusion; mobility; public_space,88,Altamente relevante,"Esta oportunidade é relevante porque a elegibilidade das autarquias deve ser confirmada, incide em temas relevantes para políticas locais.",Prazo com margem
imt-mobility-https-www-imt-ip-pt-concurso-aviso-n-o-2-2026-apoio-a-implementacao-de-medidas-de-melhoria,Aviso n.º 2/2026 – Apoio à Implementação de Medidas de Melhoria da Mobilidade Escolar,Fundo para a Mobilidade e Transportes,2026-08-02,2026-08-31,"",Fundo para a Mobilidade e Transportes (IMT),https://www.imt-ip.pt/concurso/aviso-n-o-2-2026-apoio-a-implementacao-de-medidas-de-melhoria-da-mobilidade-escolar/,https://www.imt-ip.pt/wp-content/uploads/2026/07/Aviso_2_2026_Apoio_a_Implementacao_de_Medidas_de_Melhoria_da_Mobilidade_Escolar.pdf,Entidades privadas,Confirmar os requisitos de parceria no aviso oficial.,"","O Aviso n.º 2/2026 do Fundo para a Mobilidade e Transportes apoia intervenções para melhorar a mobilidade escolar ativa em Portugal continental (exceto Áreas Metropolitanas de Lisboa e Porto). Financia infraestruturas ligeiras, acalmia de tráfego, rotas seguras e programas que promovam a autonomia e segurança de crianças e jovens nas deslocações para a escola.",climate; community_development; digital_public_services; environment; inclusion; mobility,86,Altamente relevante,"Esta oportunidade é relevante porque a elegibilidade das autarquias deve ser confirmada, tem incidência territorial em Lisboa ou na Área Metropolitana de Lisboa, incide em temas relevantes para políticas locais.",Prazo próximo
imt-mobility-https-www-imt-ip-pt-concurso-aviso-n-o-3-2025-apoio-a-implementacao-de-medidas-de-melhoria,Aviso n.º 3/2025 – Apoio à Implementação de Medidas de Melhoria da Mobilidade Escolar,Fundo para a Mobilidade e Transportes,2025-04-24,2025-07-31,"",Fundo para a Mobilidade e Transportes (IMT),https://www.imt-ip.pt/concurso/aviso-n-o-3-2025-apoio-a-implementacao-de-medidas-de-melhoria-da-mobilidade-escolar-2/,https://www.imt-ip.pt/wp-content/uploads/2025/04/Aviso-3_2025-MobilidadeEscolar.pdf,Entidades privadas,Confirmar os requisitos de parceria no aviso oficial.,"","O Fundo para a Mobilidade e Transportes apoia a implementação de medidas de mobilidade escolar ativa e sustentável para crianças e jovens em Portugal continental, excluindo áreas metropolitanas. O aviso visa financiar intervenções em infraestruturas e ações de promoção de percursos seguros, incentivando modos ativos, a segurança rodoviária e a redução de tráfego motorizado escolar.",climate; community_development; digital_public_services; environment; inclusion; mobility,86,Altamente relevante,"Esta oportunidade é relevante porque a elegibilidade das autarquias deve ser confirmada, tem incidência territorial em Lisboa ou na Área Metropolitana de Lisboa, incide em temas relevantes para políticas locais.",Prazo ultrapassado
imt-mobility-https-www-imt-ip-pt-concurso-https-www-imt-ip-pt-wp-content-uploads-2025-06-aviso-n-o-2-20,Aviso n.º 2/2025 – Apoio à Modernização de Paragens de Transporte Público,Fundo para a Mobilidade e Transportes,2025-09-08,2025-06-30,"",Fundo para a Mobilidade e Transportes (IMT),https://www.imt-ip.pt/concurso/https-www-imt-ip-pt-wp-content-uploads-2025-06-aviso_n-o_2_2025_v2-pdf/,https://www.imt-ip.pt/wp-content/uploads/2025/01/Aviso_N.o_2_2025_Abrigos_v3.pdf,Entidades privadas,Confirmar os requisitos de parceria no aviso oficial.,"","O Fundo para o Serviço Público de Transportes apoia a modernização de paragens de transporte público. As ações elegíveis incluem a instalação de abrigos, melhoria de interfaces, uniformização de sinalização e produção de informação ao público. Podem candidatar-se municípios, comunidades intermunicipais e operadores de transporte responsáveis pelas infraestruturas.",climate; digital_public_services; environment; inclusion; mobility; public_space,85,Altamente relevante,"Esta oportunidade é relevante porque a elegibilidade das autarquias deve ser confirmada, tem incidência territorial em Lisboa ou na Área Metropolitana de Lisboa, incide em temas relevantes para políticas locais.",Prazo ultrapassado
eu-ft-horizon-miss-2026-01-clima-04,Bridging the gap between disaster risk management and climate adaptation,Horizon Europe,2026-02-04,2026-09-23,"€5,000,000 total; até €5,000,000/projeto",EU Funding & Tenders Portal,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/horizon-miss-2026-01-clima-04,"",Municípios ou autoridades locais,"","",O programa Horizonte Europa abre candidaturas para projetos focados em estreitar a relação entre a gestão de riscos de catástrofes e a adaptação às alterações climáticas. Esta iniciativa visa apoiar municípios e autoridades locais no desenvolvimento de estratégias de resiliência e resposta a fenómenos climáticos extremos.,climate; community_development; inclusion,84,Altamente relevante,"Esta oportunidade é relevante porque aceita autarquias ou entidades públicas como candidatas, incide em temas relevantes para políticas locais, tem janela de preparação curta.",Prazo próximo
eu-ft-horizon-cl3-2026-01-fct-02,"Open topic on preventing and countering the misuse of emerging technologies for criminal purposes, including issues related to lawful access to data",Horizon Europe,2026-05-06,2026-11-05,"€9,000,000 total; até €4,500,000/projeto",EU Funding & Tenders Portal,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/horizon-cl3-2026-01-fct-02,"",Entidades públicas,O texto da oportunidade indica requisitos de consórcio ou parceria; confirmar no aviso oficial.,"","Este convite do programa Horizonte Europa foca-se na prevenção e combate à utilização indevida de tecnologias emergentes para fins criminosos, abordando questões relacionadas com o acesso legal a dados.",accessibility; equality; inclusion,80,Altamente relevante,"Esta oportunidade é relevante porque aceita autarquias ou entidades públicas como candidatas, incide em temas relevantes para políticas locais.",Prazo com margem
eu-ft-horizon-neb-2026-01-business-01,Structurally addressing homelessness through coordinated social infrastructure and services in neighbourhoods,Horizon Europe,2026-05-05,2026-12-01,"€10,500,000 total; até €3,500,000/projeto",EU Funding & Tenders Portal,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/horizon-neb-2026-01-business-01,"","","","",Este convite à apresentação de propostas no âmbito do programa Horizonte Europa visa abordar estruturalmente a problemática dos sem-abrigo através da coordenação de infraestruturas sociais e serviços ao nível dos bairros.,accessibility; climate; community_development; environment; inclusion; public_space,79,Altamente relevante,"Esta oportunidade é relevante porque a elegibilidade das autarquias deve ser confirmada, incide em temas relevantes para políticas locais.",Prazo com margem
eui-city-to-city-exchanges,City-to-City Exchanges,European Urban Initiative,,2027-11-17,"",European Urban Initiative,https://www.urban-initiative.eu/capacity-building/pilot-call-c2c-exchanges,"",Urban authorities,"",Open · &nbsp; grant Find out more,Deadline date : 17/11/2027 By European Urban Initiative Policy challenge related to the design and implementation of Sustainable Urban Development within Cohesion Policy.  Urban authorities,climate; community_development; public_space,79,Altamente relevante,"Esta oportunidade é relevante porque aceita autarquias ou entidades públicas como candidatas, incide em temas relevantes para políticas locais.",Prazo com margem
pt2030-7958,Gestão de Resíduos Urbanos - ações imateriais,SUSTENTAVEL2030,2026-09-01,2026-12-31,"€8,000,000",Portugal 2030,https://portugal2030.pt/aviso-2024/gestao-de-residuos-urbanos-acoes-imateriais/,"",Entidades públicas,"",FC · AML | Centro | Norte | Alentejo | Algarve,"Aviso Portugal 2030 para RSO2.6 - Economia circular; FC; AML | Centro | Norte | Alentejo | Algarve. Consultar o plano oficial para confirmar condições, documentação e candidatura.",climate; environment,78,Altamente relevante,"Esta oportunidade é relevante porque aceita autarquias ou entidades públicas como candidatas, tem incidência territorial em Lisboa ou na Área Metropolitana de Lisboa, incide em temas relevantes para políticas locais.",Prazo com margem
pt2030-7977,"Desenvolver sistemas, redes e formas de armazenamento energéticos inteligentes fora da RTE-E",SUSTENTAVEL2030,2026-08-01,2027-01-31,"€15,000,000",Portugal 2030,https://portugal2030.pt/aviso-2024/desenvolver-sistemas-redes-e-formas-de-armazenamento-energeticos-inteligentes-fora-da-rte-e/,"",Entidades públicas,"",FC · Alentejo | AML | Algarve | Norte | Centro,"Aviso Portugal 2030 para RSO2.3 - Sistemas energéticos inteligentes; FC; Alentejo | AML | Algarve | Norte | Centro. Consultar o plano oficial para confirmar condições, documentação e candidatura.",digital_public_services; environment,77,Altamente relevante,"Esta oportunidade é relevante porque aceita autarquias ou entidades públicas como candidatas, tem incidência territorial em Lisboa ou na Área Metropolitana de Lisboa, incide em temas relevantes para políticas locais.",Prazo com margem
