id,title,programme,opening_date,deadline,funding_amount,funding_source,official_link,document_link,eligible_applicants,partnership_requirements,other_requirements,summary,themes,relevance_score,relevance_category,relevance_explanation,deadline_status
eu-ft-horizon-neb-2026-01-regen-03,Innovative solutions for the sustainable and beautiful use of vertical space,Horizon Europe,2026-05-05,2026-12-01,"€15,000,000 total; até €5,000,000/projeto",EU Funding & Tenders Portal,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/horizon-neb-2026-01-regen-03,"",Municípios ou autoridades locais,"","","O programa Horizonte Europa financia soluções inovadoras para a utilização sustentável e estética de espaços verticais. Com uma verba global de 15 milhões de euros, a iniciativa apoia projetos até 5 milhões de euros, visando municípios e autoridades locais.",accessibility; climate; community_development; environment; inclusion; public_space,100,Altamente relevante,"Esta oportunidade é relevante porque aceita autarquias ou entidades públicas como candidatas, incide em temas relevantes para políticas locais.",Prazo com margem
eu-ft-horizon-neb-2026-01-regen-01,"Sustainable, inclusive, affordable and beautiful solutions for thermal comfort in buildings",Horizon Europe,2026-05-05,2026-12-01,"€12,000,000 total; até €4,000,000/projeto",EU Funding & Tenders Portal,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/horizon-neb-2026-01-regen-01,"",Municípios ou autoridades locais,"","","Este concurso do Horizonte Europa visa promover soluções sustentáveis, inclusivas, acessíveis e esteticamente apelativas para o conforto térmico em edifícios. O financiamento total disponível é de 12 milhões de euros, com um limite máximo de 4 milhões de euros por projeto, sendo elegíveis municípios e autoridades locais.",accessibility; climate; community_development; environment; inclusion; public_space,100,Altamente relevante,"Esta oportunidade é relevante porque aceita autarquias ou entidades públicas como candidatas, incide em temas relevantes para políticas locais.",Prazo com margem
eu-ft-horizon-neb-2026-01-business-02,Understanding capital market dynamics for increased investment in New European Bauhaus projects in neighbourhoods,Horizon Europe,2026-05-05,2026-12-01,"€7,000,000 total; até €3,500,000/projeto",EU Funding & Tenders Portal,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/horizon-neb-2026-01-business-02,"",Entidades públicas,"","","O convite visa compreender a dinâmica dos mercados de capitais para fomentar o investimento em projetos alinhados com a Nova Bauhaus Europeia ao nível dos bairros, com um orçamento total de 7 milhões de euros e um máximo de 3,5 milhões por projeto.",accessibility; climate; community_development; environment; inclusion; public_space,100,Altamente relevante,"Esta oportunidade é relevante porque aceita autarquias ou entidades públicas como candidatas, incide em temas relevantes para políticas locais.",Prazo com margem
eu-ft-horizon-neb-2026-01-participation-03,Understanding inhabitant’s experiences of neighbourhoods to support their health and well-being,Horizon Europe,2026-05-05,2026-12-01,"€15,000,000 total; até €5,000,000/projeto",EU Funding & Tenders Portal,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/horizon-neb-2026-01-participation-03,"",Municípios ou autoridades locais,O texto da oportunidade indica requisitos de consórcio ou parceria; confirmar no aviso oficial.,"","Esta iniciativa do programa Horizonte Europa foca-se na compreensão das experiências dos habitantes nos seus bairros para promover a saúde e o bem-estar. O financiamento total é de 15 milhões de euros, com um limite de 5 milhões de euros por projeto. A submissão de candidaturas está prevista para ocorrer entre maio e dezembro de 2026.",accessibility; civic_participation; climate; community_development; environment; equality; inclusion; mobility; public_space,100,Altamente relevante,"Esta oportunidade é relevante porque aceita autarquias ou entidades públicas como candidatas, incide em temas relevantes para políticas locais.",Prazo com margem
eu-ft-horizon-cl3-2026-01-drs-05,Climate security and civil preparedness – new ways to develop pre- and post-crisis climate-change related scenarios for a more resilient Europe,Horizon Europe,2026-05-06,2026-11-05,"€4,500,000 total; até €4,500,000/projeto",EU Funding & Tenders Portal,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/horizon-cl3-2026-01-drs-05,"",Entidades públicas,O texto da oportunidade indica requisitos de consórcio ou parceria; confirmar no aviso oficial.,"","O programa Horizonte Europa financia projetos que desenvolvam novas metodologias para a criação de cenários relacionados com as alterações climáticas, focando-se na segurança climática e na preparação civil para uma Europa mais resiliente.",accessibility; climate; environment; inclusion; mobility,99,Altamente relevante,"Esta oportunidade é relevante porque aceita autarquias ou entidades públicas como candidatas, incide em temas relevantes para políticas locais.",Prazo com margem
eu-ft-horizon-cl3-2026-01-drs-04,Open topic on driving innovation uptake of disaster risk solutions,Horizon Europe,2026-05-06,2026-11-05,"€6,000,000 total; até €3,000,000/projeto",EU Funding & Tenders Portal,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/horizon-cl3-2026-01-drs-04,"",Municípios ou autoridades locais; Entidades públicas,O texto da oportunidade indica requisitos de consórcio ou parceria; confirmar no aviso oficial.,"","O programa Horizonte Europa financia projetos que impulsionem a adoção de inovações orientadas para a redução de riscos de catástrofes. Aberto a municípios e entidades públicas, este concurso visa melhorar a resiliência e a gestão de riscos, com um financiamento total de seis milhões de euros e um limite de três milhões por projeto.",accessibility; climate; community_development; digital_public_services; inclusion,99,Altamente relevante,"Esta oportunidade é relevante porque aceita autarquias ou entidades públicas como candidatas, incide em temas relevantes para políticas locais.",Prazo com margem
pt2030-7906,Inquéritos de mobilidade nas Áreas Metropolitana de Lisboa e do Porto,SUSTENTAVEL2030,2026-09-01,2027-02-26,"€1,000,000",Portugal 2030,https://portugal2030.pt/aviso-2024/inqueritos-de-mobilidade-nas-areas-metropolitana-de-lisboa-e-do-porto/,"",Entidades públicas,"",FC · Norte | AML,"Aviso Portugal 2030 para RSO2.8 - Mobilidade urbana sustentável; FC; Norte | AML. Consultar o plano oficial para confirmar condições, documentação e candidatura.",community_development; environment; mobility; public_space,96,Altamente relevante,"Esta oportunidade é relevante porque aceita autarquias ou entidades públicas como candidatas, tem incidência territorial em Lisboa ou na Área Metropolitana de Lisboa, incide em temas relevantes para políticas locais.",Prazo com margem
pt2030-8000,Rede ferroviária das Áreas Metropolitanas - Mobilidade urbana sustentável na Área Metropolitana de Lisboa,SUSTENTAVEL2030,2027-04-01,2027-08-31,"€110,000,000",Portugal 2030,https://portugal2030.pt/aviso-2024/rede-ferroviaria-das-areas-metropolitanas-mobilidade-urbana-sustentavel-na-area-metropolitana-de-lisboa/,"",Entidades públicas,"",FC · AML,"Aviso Portugal 2030 para RSO2.8 - Mobilidade urbana sustentável; FC; AML. Consultar o plano oficial para confirmar condições, documentação e candidatura.",community_development; environment; mobility; public_space,96,Altamente relevante,"Esta oportunidade é relevante porque aceita autarquias ou entidades públicas como candidatas, tem incidência territorial em Lisboa ou na Área Metropolitana de Lisboa, incide em temas relevantes para políticas locais.",Prazo com margem
eu-ft-horizon-cl3-2026-01-fct-04,"Crime prevention approaches, online and off-line, tackling the nexus between addictions and crime",Horizon Europe,2026-05-06,2026-11-05,"€6,000,000 total; até €3,000,000/projeto",EU Funding & Tenders Portal,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/horizon-cl3-2026-01-fct-04,"",Entidades públicas,O texto da oportunidade indica requisitos de consórcio ou parceria; confirmar no aviso oficial.,"","Este concurso do Horizonte Europa visa apoiar abordagens de prevenção do crime, tanto online como offline, focadas na relação entre dependências e atividade criminosa. Com um orçamento total de 6 milhões de euros, o programa disponibiliza até 3 milhões de euros por projeto, sendo aberto a entidades públicas.",civic_participation; climate; equality; inclusion,92,Altamente relevante,"Esta oportunidade é relevante porque aceita autarquias ou entidades públicas como candidatas, incide em temas relevantes para políticas locais.",Prazo com margem
eu-ft-horizon-cl3-2026-01-infra-01,Tools and processes to support stress tests of critical infrastructure,Horizon Europe,2026-05-06,2026-11-05,"€9,670,000 total; até €4,835,000/projeto",EU Funding & Tenders Portal,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/horizon-cl3-2026-01-infra-01,"",Entidades públicas,O texto da oportunidade indica requisitos de consórcio ou parceria; confirmar no aviso oficial.,"","O programa Horizonte Europa financia o desenvolvimento de ferramentas e processos para realizar testes de stress em infraestruturas críticas. O aviso disponibiliza um total de 9,67 milhões de euros, com um limite de 4,835 milhões de euros por projeto, estando a abertura prevista para maio de 2026.",accessibility; climate; environment; inclusion,90,Altamente relevante,"Esta oportunidade é relevante porque aceita autarquias ou entidades públicas como candidatas, incide em temas relevantes para políticas locais.",Prazo com margem
eu-ft-horizon-cl3-2026-01-bm-01,Advanced border surveillance and situational awareness,Horizon Europe,2026-05-06,2026-11-05,"€12,000,000 total; até €6,000,000/projeto",EU Funding & Tenders Portal,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/horizon-cl3-2026-01-bm-01,"","",O texto da oportunidade indica requisitos de consórcio ou parceria; confirmar no aviso oficial.,"","O programa Horizonte Europa financia projetos focados em vigilância avançada de fronteiras e consciência situacional. A oportunidade disponibiliza 12 milhões de euros no total, com um limite de 6 milhões de euros por projeto, estando a abertura prevista para maio de 2026.",climate; community_development; environment; equality; inclusion; mobility; public_space,88,Altamente relevante,"Esta oportunidade é relevante porque a elegibilidade das autarquias deve ser confirmada, incide em temas relevantes para políticas locais.",Prazo com margem
eu-ft-life-2026-cet-betterreno,Energy renovation solutions – Boosting building renovation through effective markets and instruments,LIFE,2026-04-21,2026-09-16,"€6,000,000 total",EU Funding & Tenders Portal,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/life-2026-cet-betterreno,"",Entidades públicas,O texto da oportunidade indica requisitos de consórcio ou parceria; confirmar no aviso oficial.,"","O programa LIFE financia soluções para a renovação energética de edifícios, com o objetivo de impulsionar a renovação através de mercados e instrumentos eficazes. A oportunidade tem um montante total de 6 milhões de euros e destina-se a entidades públicas. O prazo de candidatura termina a 16 de setembro de 2026.",climate; environment; inclusion,80,Altamente relevante,"Esta oportunidade é relevante porque aceita autarquias ou entidades públicas como candidatas, incide em temas relevantes para políticas locais.",Prazo com margem
eu-ft-horizon-cl6-2026-01-biodiv-04,Ensuring continuous effectiveness of protected areas in conserving habitats and species while facing intensifying drivers of biodiversity loss,Horizon Europe,2026-04-17,2026-09-17,"€13,000,000 total; até €6,500,000/projeto",EU Funding & Tenders Portal,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/horizon-cl6-2026-01-biodiv-04,"",Entidades públicas,O texto da oportunidade indica requisitos de consórcio ou parceria; confirmar no aviso oficial.,"","Esta iniciativa do Horizon Europe visa assegurar a eficácia contínua das áreas protegidas na conservação de habitats e espécies face à intensificação dos fatores de perda de biodiversidade, disponibilizando um financiamento total de 13 milhões de euros.",climate; environment; inclusion,80,Altamente relevante,"Esta oportunidade é relevante porque aceita autarquias ou entidades públicas como candidatas, incide em temas relevantes para políticas locais.",Prazo com margem
eu-ft-life-2026-cet-renewhc,Strengthening national frameworks for renewable and efficient heating and cooling in existing buildings,LIFE,2026-04-21,2026-09-16,"€6,500,000 total",EU Funding & Tenders Portal,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/life-2026-cet-renewhc,"",Entidades públicas,O texto da oportunidade indica requisitos de consórcio ou parceria; confirmar no aviso oficial.,"","Este concurso do programa LIFE visa fortalecer os quadros nacionais para sistemas de aquecimento e arrefecimento renováveis e eficientes em edifícios já existentes, dispondo de um orçamento global de 6,5 milhões de euros.",climate; environment; public_space,79,Altamente relevante,"Esta oportunidade é relevante porque aceita autarquias ou entidades públicas como candidatas, incide em temas relevantes para políticas locais.",Prazo com margem
eu-ft-horizon-neb-2026-01-business-01,Structurally addressing homelessness through coordinated social infrastructure and services in neighbourhoods,Horizon Europe,2026-05-05,2026-12-01,"€10,500,000 total; até €3,500,000/projeto",EU Funding & Tenders Portal,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/horizon-neb-2026-01-business-01,"","","","","Esta iniciativa do Horizon Europe visa abordar estruturalmente o problema das pessoas em situação de sem-abrigo, através do desenvolvimento de infraestruturas sociais coordenadas e serviços de proximidade nos bairros. O projeto conta com uma dotação total de 10,5 milhões de euros, permitindo um financiamento de até 3,5 milhões de euros por cada proposta aprovada.",accessibility; climate; community_development; environment; inclusion; public_space,79,Altamente relevante,"Esta oportunidade é relevante porque a elegibilidade das autarquias deve ser confirmada, incide em temas relevantes para políticas locais.",Prazo com margem
eui-city-to-city-exchanges,City-to-City Exchanges,European Urban Initiative,,2027-11-17,"",European Urban Initiative,https://www.urban-initiative.eu/capacity-building/pilot-call-c2c-exchanges,"",Urban authorities,"",Open · &nbsp; grant Find out more,Deadline date : 17/11/2027 By European Urban Initiative Policy challenge related to the design and implementation of Sustainable Urban Development within Cohesion Policy.  Urban authorities,climate; community_development; public_space,79,Altamente relevante,"Esta oportunidade é relevante porque aceita autarquias ou entidades públicas como candidatas, incide em temas relevantes para políticas locais.",Prazo com margem
pt2030-7958,Gestão de Resíduos Urbanos - ações imateriais,SUSTENTAVEL2030,2026-09-01,2026-12-31,"€8,000,000",Portugal 2030,https://portugal2030.pt/aviso-2024/gestao-de-residuos-urbanos-acoes-imateriais/,"",Entidades públicas,"",FC · AML | Centro | Norte | Alentejo | Algarve,"Aviso Portugal 2030 para RSO2.6 - Economia circular; FC; AML | Centro | Norte | Alentejo | Algarve. Consultar o plano oficial para confirmar condições, documentação e candidatura.",climate; environment,78,Altamente relevante,"Esta oportunidade é relevante porque aceita autarquias ou entidades públicas como candidatas, tem incidência territorial em Lisboa ou na Área Metropolitana de Lisboa, incide em temas relevantes para políticas locais.",Prazo com margem
pt2030-7977,"Desenvolver sistemas, redes e formas de armazenamento energéticos inteligentes fora da RTE-E",SUSTENTAVEL2030,2026-08-01,2027-01-31,"€15,000,000",Portugal 2030,https://portugal2030.pt/aviso-2024/desenvolver-sistemas-redes-e-formas-de-armazenamento-energeticos-inteligentes-fora-da-rte-e/,"",Entidades públicas,"",FC · Alentejo | AML | Algarve | Norte | Centro,"Aviso Portugal 2030 para RSO2.3 - Sistemas energéticos inteligentes; FC; Alentejo | AML | Algarve | Norte | Centro. Consultar o plano oficial para confirmar condições, documentação e candidatura.",digital_public_services; environment,77,Altamente relevante,"Esta oportunidade é relevante porque aceita autarquias ou entidades públicas como candidatas, tem incidência territorial em Lisboa ou na Área Metropolitana de Lisboa, incide em temas relevantes para políticas locais.",Prazo com margem
pt2030-8072,Educação intercultural em contexto escolar,FAMI2030,2026-05-01,2026-06-30,"€4,000,000",Portugal 2030,https://portugal2030.pt/aviso-2024/educacao-intercultural-em-contexto-escolar/,"",Entidades públicas; Entidades privadas,A modalidade do aviso prevê parceria; confirmar os requisitos no aviso oficial.,FAMI · Norte | RAM | RAA | Alentejo | AML | Algarve | Centro,"Aviso Portugal 2030 para HSO9.2 - Migração legal e integração; FAMI; Norte | RAM | RAA | Alentejo | AML | Algarve | Centro. Consultar o plano oficial para confirmar condições, documentação e candidatura.",inclusion,76,Altamente relevante,"Esta oportunidade é relevante porque aceita autarquias ou entidades públicas como candidatas, tem incidência territorial em Lisboa ou na Área Metropolitana de Lisboa, incide em temas relevantes para políticas locais, tem prazo próximo.",Prazo ultrapassado
pt2030-7905,Assistência Técnica (2027 a 2030),SUSTENTAVEL2030,2026-05-04,2026-07-31,"€20,000,000",Portugal 2030,https://portugal2030.pt/aviso-2024/assistencia-tecnica-2027-a-2030/,"",Entidades públicas,"",FC · Norte | Algarve | Alentejo | AML | Centro,"Aviso Portugal 2030 para TASO7.1 - Assistência técnica; FC; Norte | Algarve | Alentejo | AML | Centro. Consultar o plano oficial para confirmar condições, documentação e candidatura.",environment,76,Altamente relevante,"Esta oportunidade é relevante porque aceita autarquias ou entidades públicas como candidatas, tem incidência territorial em Lisboa ou na Área Metropolitana de Lisboa, incide em temas relevantes para políticas locais, tem prazo próximo.",Prazo muito próximo
lisboa2030-2024-20,Adaptação às Alterações Climáticas - ITI AML,LISBOA2030,2024-03-05,2026-12-31,"€700,000",Portugal 2030,https://lisboa.portugal2030.pt/avisos/#aviso-lisboa2030-2024-20,https://lisboa.portugal2030.pt/wp-json/avisos/download?container=siag-prod-container&path=avisos%2F2025%2F7%2F842a6c06-244c-4a64-aba8-742dba5dba2a%2F04dce71a-0fd0-4d43-b33e-47b8d24d5012,"","",LISBOA2030-2024-20,"Aviso Lisboa 2030: Adaptação às Alterações Climáticas - ITI AML. Consultar o aviso oficial para confirmar condições, documentação e candidatura.",climate; community_development; environment; mobility; public_space,76,Altamente relevante,"Esta oportunidade é relevante porque a elegibilidade das autarquias deve ser confirmada, tem incidência territorial em Lisboa ou na Área Metropolitana de Lisboa, incide em temas relevantes para políticas locais.",Prazo com margem
lisboa2030-2023-13,"Conservação da natureza, biodiversidade e património natural_ITI AML",LISBOA2030,2023-12-29,2026-12-31,"€800,000",Portugal 2030,https://lisboa.portugal2030.pt/avisos/#aviso-lisboa2030-2023-13,https://lisboa.portugal2030.pt/wp-json/avisos/download?container=siag-prod-container&path=avisos%2F2025%2F7%2F1adf4426-faa8-46c2-8db4-e05ce57974e6%2F1eb4a79d-573a-438a-a932-34d53d2cf534,"","",LISBOA2030-2023-13,"O programa Lisboa 2030 apoia a preservação, requalificação e valorização da estrutura ecológica metropolitana. O aviso foca-se na conservação da natureza, biodiversidade e infraestruturas verdes na região NUTS II de Lisboa, visando a melhoria da qualidade do ar, a amenização climática e o restauro ecológico, incluindo ações de ecologização urbana e valorização do património natural.",climate; community_development; environment; mobility; public_space,76,Altamente relevante,"Esta oportunidade é relevante porque a elegibilidade das autarquias deve ser confirmada, tem incidência territorial em Lisboa ou na Área Metropolitana de Lisboa, incide em temas relevantes para políticas locais.",Prazo com margem
lisboa2030-2024-19,Eficiência Energética para Edifícios da Administração Local,LISBOA2030,2024-03-05,2026-12-31,"€3,500,000",Portugal 2030,https://lisboa.portugal2030.pt/avisos/#aviso-lisboa2030-2024-19,https://lisboa.portugal2030.pt/wp-json/avisos/download?container=siag-prod-container&path=avisos%2F2025%2F7%2F11d02edb-bcff-4ad1-81e2-f65a8d1c0a91%2F7b45fda0-eede-4696-aa9e-886db90f23a9,"","",LISBOA2030-2024-19,"O aviso Lisboa 2030 visa apoiar a eficiência energética em edifícios da Administração Pública Local na região de Lisboa. O financiamento FEDER destina-se a auditorias, planos de racionalização de consumos e investimentos na reabilitação de edifícios, incentivando soluções verdes e circulares para reduzir a intensidade energética e as emissões de gases com efeito de estufa.",climate; community_development; environment; mobility; public_space,76,Altamente relevante,"Esta oportunidade é relevante porque a elegibilidade das autarquias deve ser confirmada, tem incidência territorial em Lisboa ou na Área Metropolitana de Lisboa, incide em temas relevantes para políticas locais.",Prazo com margem
