id,title,programme,opening_date,deadline,funding_amount,funding_source,official_link,document_link,eligible_applicants,applicant_eligibility_status,partnership_requirements,other_requirements,summary,themes,geography,relevance_score,relevance_category,relevance_explanation,deadline_status
eu-ft-horizon-cl5-2026-10-d6-07,Supporting sustainable and smart urban mobility in Europe (CIVITAS),Horizon Europe,2026-06-04,2026-10-08,"€4,000,000 total; até €4,000,000/projeto",EU Funding & Tenders Portal,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/horizon-cl5-2026-10-d6-07,"",Municípios ou autoridades locais,known,"","","O financiamento visa apoiar o desenvolvimento de mobilidade urbana inteligente e sustentável, promovendo inovações no âmbito da iniciativa CIVITAS no programa Horizonte Europa, direcionado especificamente a municípios ou autoridades locais.",mobility; community_development,"{""scope""=>""unknown"", ""areas""=>[]}",83,Altamente relevante,"Esta oportunidade é relevante porque aceita autarquias ou entidades públicas como candidatas, tem impacto explícito em comunidades, cidades ou serviços locais, incide em temas relevantes para políticas locais, tem prazo próximo.",Prazo muito próximo
eu-ft-horizon-cl3-2026-01-infra-02,Security challenges of the green transition in urban und peri urban areas,Horizon Europe,2026-05-06,2026-11-05,"€4,000,000 total; até €4,000,000/projeto",EU Funding & Tenders Portal,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/horizon-cl3-2026-01-infra-02,"",Entidades públicas,known,O texto da oportunidade indica requisitos de consórcio ou parceria; confirmar no aviso oficial.,"","Este financiamento apoia projetos de investigação e inovação focados nos desafios de segurança decorrentes da transição verde em áreas urbanas e periurbanas, visando proteger infraestruturas e comunidades no âmbito do programa Horizonte Europa.",climate; environment,"{""scope""=>""unknown"", ""areas""=>[]}",83,Altamente relevante,"Esta oportunidade é relevante porque aceita autarquias ou entidades públicas como candidatas, tem impacto explícito em comunidades, cidades ou serviços locais, contribui para uma transição estratégica, incide em temas relevantes para políticas locais, tem janela de preparação curta.",Prazo próximo
pt2030-8526,Formação Avançada,PESSOAS2030,2026-12-01,2027-04-30,"€40,000,000",Portugal 2030,https://portugal2030.pt/plano-anual-de-avisos/#aviso-8526,"",Entidades públicas,known,"",FSE+ · Centro | Algarve | Norte | AML | Alentejo,"Aviso Portugal 2030 para ESO4.6 - Sistemas de educação e formação inclusivos e de qualidade; FSE+; Centro | Algarve | Norte | AML | Alentejo. Consultar o plano oficial para confirmar condições, documentação e candidatura.",inclusion,"{""scope""=>""regional"", ""areas""=>[""Área Metropolitana de Lisboa""]}",83,Altamente relevante,"Esta oportunidade é relevante porque aceita autarquias ou entidades públicas como candidatas, incide em necessidades de interesse público, incide em temas relevantes para políticas locais, tem incidência territorial em Lisboa ou na Área Metropolitana de Lisboa.",Prazo com margem
eu-ft-horizon-miss-2027-04-cit-ccri-04,Advancing circular logistics solutions in cities,Horizon Europe,2027-02-09,2027-10-07,"€22,500,000 total; até €7,500,000/projeto",EU Funding & Tenders Portal,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/horizon-miss-2027-04-cit-ccri-04,"",Municípios ou autoridades locais,known,O texto da oportunidade indica requisitos de consórcio ou parceria; confirmar no aviso oficial.,"","Financiamento para o desenvolvimento de soluções de logística circular em ambientes urbanos, visando otimizar a distribuição de bens e reduzir o impacto ambiental das atividades de transporte e entrega em áreas metropolitanas.",mobility,"{""scope""=>""unknown"", ""areas""=>[]}",83,Altamente relevante,"Esta oportunidade é relevante porque aceita autarquias ou entidades públicas como candidatas, tem impacto explícito em comunidades, cidades ou serviços locais, incide em temas relevantes para políticas locais.",Prazo com margem
eu-ft-horizon-miss-2026-05-soil-03,Enabling user-centred and open innovation initiatives to enhance soil health in Ukraine,Horizon Europe,2026-02-04,2026-09-23,"€5,000,000 total; até €5,000,000/projeto",EU Funding & Tenders Portal,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/horizon-miss-2026-05-soil-03,"",Municípios ou autoridades locais,known,"","",Este financiamento apoia iniciativas de inovação aberta centradas no utilizador destinadas a melhorar a saúde do solo na Ucrânia. O programa visa promover práticas e soluções práticas que contribuam para a preservação e recuperação de solos degradados através do envolvimento de atores locais.,community_development,"{""scope""=>""unknown"", ""areas""=>[]}",82,Altamente relevante,"Esta oportunidade é relevante porque aceita autarquias ou entidades públicas como candidatas, incide em necessidades de interesse público, incide em temas relevantes para políticas locais, tem prazo próximo.",Prazo muito próximo
eu-ft-horizon-miss-2026-04-cit-01,"Energy efficient urban and sub-urban public transport, complemented by shared mobility",Horizon Europe,2026-02-04,2026-10-08,"€20,000,000 total; até €10,000,000/projeto",EU Funding & Tenders Portal,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/horizon-miss-2026-04-cit-01,"",Municípios ou autoridades locais; Entidades públicas,known,O texto da oportunidade indica requisitos de consórcio ou parceria; confirmar no aviso oficial.,"","Este financiamento apoia a implementação de sistemas de transporte público urbano e suburbano energeticamente eficientes, integrados com soluções de mobilidade partilhada, visando melhorar a sustentabilidade e a eficiência das redes de transportes locais.",mobility; climate; environment,"{""scope""=>""unknown"", ""areas""=>[]}",82,Altamente relevante,"Esta oportunidade é relevante porque aceita autarquias ou entidades públicas como candidatas, tem impacto explícito em comunidades, cidades ou serviços locais, incide em temas relevantes para políticas locais, tem prazo próximo.",Prazo muito próximo
sudoe-3rd-call,3rd call,Interreg Sudoe,2026-05-04,2026-05-04,"€1,000,000",Interreg Sudoe,https://interreg-sudoe.eu/en/3rd-call/,"",Entidades públicas; Entidades privadas sem fins lucrativos,known,"Parceria transnacional com pelo menos um beneficiário de Portugal, Espanha e França; confirmar os requisitos no aviso oficial.",Financiamento FEDER até 75%; candidatura em parceria transnacional.,"Launch of the 3rd Interreg Sudoe call: Focus on capitalisation Following two standard calls for projects that supported 76 transnational projects, the Interreg Sudoe programme is launching its third call for proposals, fully focused on capitalisation , with the aim of enhancing the visibility of results from previous calls.",climate; community_development; digital_public_services; environment,"{""scope""=>""transnational"", ""areas""=>[""Portugal"", ""Espanha"", ""França""]}",81,Altamente relevante,"Esta oportunidade é relevante porque aceita autarquias ou entidades públicas como candidatas, incide em temas relevantes para políticas locais, tem prazo próximo.",Prazo ultrapassado
sudoe-4th-call,4th call,Interreg Sudoe,2026-08-28,2026-05-04,"",Interreg Sudoe,https://interreg-sudoe.eu/en/4th-call/,"",Entidades públicas; Entidades privadas sem fins lucrativos,known,"Parceria transnacional com pelo menos um beneficiário de Portugal, Espanha e França; confirmar os requisitos no aviso oficial.",Financiamento FEDER até 75%; candidatura em parceria transnacional.,"Taking action against wildfires and population ageing Following the increase in ERDF funding granted by the European Commission in 2023, the Interreg Sudoe programme is launching a fourth call dedicated to structuring projects. The objective is to provide ambitious transnational solutions to two major challenges in the south‑west European area.",climate; community_development; environment; inclusion,"{""scope""=>""transnational"", ""areas""=>[""Portugal"", ""Espanha"", ""França""]}",81,Altamente relevante,"Esta oportunidade é relevante porque aceita autarquias ou entidades públicas como candidatas, incide em temas relevantes para políticas locais, tem prazo próximo.",Prazo ultrapassado
pt2030-8535,Inquéritos de mobilidade nas Áreas Metropolitana de Lisboa e do Porto,SUSTENTAVEL2030,2027-01-01,2027-06-30,"€1,000,000",Portugal 2030,https://portugal2030.pt/plano-anual-de-avisos/#aviso-8535,"",Entidades públicas,known,"",FC · Norte | AML,"Aviso Portugal 2030 para RSO2.8 - Mobilidade urbana sustentável; FC; Norte | AML. Consultar o plano oficial para confirmar condições, documentação e candidatura.",community_development; environment; mobility; public_space,"{""scope""=>""regional"", ""areas""=>[""Área Metropolitana de Lisboa""]}",81,Altamente relevante,"Esta oportunidade é relevante porque aceita autarquias ou entidades públicas como candidatas, incide em temas relevantes para políticas locais, tem incidência territorial em Lisboa ou na Área Metropolitana de Lisboa.",Prazo com margem
eu-ft-horizon-neb-2027-01-business-03,Anticipating the long-term future of neighbourhoods in line with the New European Bauhaus,Horizon Europe,2027-05-05,2027-12-01,"€7,000,000 total; até €3,500,000/projeto",EU Funding & Tenders Portal,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/horizon-neb-2027-01-business-03,"",Municípios ou autoridades locais,known,"","","Este financiamento apoia projetos alinhados com a Nova Bauhaus Europeia, focados em antecipar o futuro a longo prazo dos bairros através de soluções inovadoras, integradas e sustentáveis ao nível local.",community_development; public_space,"{""scope""=>""unknown"", ""areas""=>[]}",81,Altamente relevante,"Esta oportunidade é relevante porque aceita autarquias ou entidades públicas como candidatas, tem impacto explícito em comunidades, cidades ou serviços locais, incide em temas relevantes para políticas locais.",Prazo com margem
eu-ft-horizon-neb-2026-01-participation-01,Addressing homelessness through housing-led approaches aligned with the New European Bauhaus,Horizon Europe,2026-05-05,2026-12-01,"€12,600,000 total; até €6,300,000/projeto",EU Funding & Tenders Portal,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/horizon-neb-2026-01-participation-01,"",Municípios ou autoridades locais,known,O texto da oportunidade indica requisitos de consórcio ou parceria; confirmar no aviso oficial.,"","Este financiamento apoia a implementação de estratégias de combate à falta de habitação através de abordagens centradas na habitação e em linha com os princípios da Nova Bauhaus Europeia, visando municípios e autoridades locais.",inclusion; community_development,"{""scope""=>""unknown"", ""areas""=>[]}",80,Altamente relevante,"Esta oportunidade é relevante porque aceita autarquias ou entidades públicas como candidatas, incide em necessidades de interesse público, incide em temas relevantes para políticas locais.",Prazo com margem
eu-ft-horizon-neb-2027-01-participation-02,Intergenerational neighbourhoods and communities aligned with the New European Bauhaus,Horizon Europe,2027-05-05,2027-12-01,"€10,500,000 total; até €5,250,000/projeto",EU Funding & Tenders Portal,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/horizon-neb-2027-01-participation-02,"",Municípios ou autoridades locais; Entidades públicas,known,O texto da oportunidade indica requisitos de consórcio ou parceria; confirmar no aviso oficial.,"","Este financiamento apoia o desenvolvimento de bairros e comunidades intergeracionais alinhados com a Nova Bauhaus Europeia. O programa destina-se a municípios, autoridades locais e entidades públicas para a concretização de projetos que promovam a coesão social e a sustentabilidade no ambiente urbano e comunitário.",community_development; public_space; inclusion,"{""scope""=>""unknown"", ""areas""=>[]}",80,Altamente relevante,"Esta oportunidade é relevante porque aceita autarquias ou entidades públicas como candidatas, tem impacto explícito em comunidades, cidades ou serviços locais, incide em temas relevantes para políticas locais.",Prazo com margem
eu-ft-horizon-miss-2027-04-cit-01,Innovative microgrids for improved energy system integration and efficiency in urban contexts,Horizon Europe,2027-02-09,2027-10-07,"€20,000,000 total; até €7,000,000/projeto",EU Funding & Tenders Portal,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/horizon-miss-2027-04-cit-01,"",Municípios ou autoridades locais; Entidades públicas,known,O texto da oportunidade indica requisitos de consórcio ou parceria; confirmar no aviso oficial.,"","Financiamento para a implementação de micro-redes inovadoras destinadas a otimizar a integração energética e aumentar a eficiência em ambientes urbanos. O aviso apoia municípios, autoridades locais e entidades públicas no desenvolvimento tecnológico.",climate; environment,"{""scope""=>""unknown"", ""areas""=>[]}",79,Altamente relevante,"Esta oportunidade é relevante porque aceita autarquias ou entidades públicas como candidatas, tem impacto explícito em comunidades, cidades ou serviços locais, incide em temas relevantes para políticas locais.",Prazo com margem
eu-ft-horizon-ju-ihi-2026-13-two-stage-01,IHI European HealthCare Incubator Network,Horizon Europe,2026-07-02,2026-10-08,"€53,200,000 total; até €35,000,000/projeto",EU Funding & Tenders Portal,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/horizon-ju-ihi-2026-13-two-stage-01,"",Entidades públicas,known,O texto da oportunidade indica requisitos de consórcio ou parceria; confirmar no aviso oficial.,"",Financiamento ao abrigo do Horizonte Europa para a criação de uma rede europeia de incubadoras de cuidados de saúde. O apoio destina-se a entidades públicas para o desenvolvimento e implementação de projetos colaborativos na área da saúde.,digital_public_services,"{""scope""=>""unknown"", ""areas""=>[]}",78,Altamente relevante,"Esta oportunidade é relevante porque aceita autarquias ou entidades públicas como candidatas, incide em necessidades de interesse público, tem prazo próximo.",Prazo muito próximo
eu-ft-horizon-cl6-2027-01-circbio-02-two-stage,Open topic: Using the Circular Cities and Regions Initiative to strengthen urban manufacturing in support of the Clean Industrial Deal,Horizon Europe,2027-02-04,2027-04-08,"€18,000,000 total; até €6,000,000/projeto",EU Funding & Tenders Portal,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/horizon-cl6-2027-01-circbio-02-two-stage,"",Municípios ou autoridades locais,known,"","","O aviso financia a implementação de iniciativas de economia circular em cidades e regiões para reforçar o fabrico urbano, contribuindo para os objetivos do Clean Industrial Deal no âmbito do programa Horizonte Europa.",environment; community_development,"{""scope""=>""unknown"", ""areas""=>[]}",78,Altamente relevante,"Esta oportunidade é relevante porque aceita autarquias ou entidades públicas como candidatas, tem impacto explícito em comunidades, cidades ou serviços locais, incide em temas relevantes para políticas locais.",Prazo com margem
eu-ft-horizon-miss-2027-03-ocean-01,"Increasing riparian and coastal areas resilience to climate change, including in waterfront cities and islands.",Horizon Europe,2027-02-09,2027-09-21,"€35,700,000 total; até €8,925,000/projeto",EU Funding & Tenders Portal,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/horizon-miss-2027-03-ocean-01,"",Municípios ou autoridades locais; Entidades públicas,known,O texto da oportunidade indica requisitos de consórcio ou parceria; confirmar no aviso oficial.,"","Financiamento de projetos destinados a reforçar a resiliência das zonas costeiras e ribeirinhas face às alterações climáticas, abrangendo cidades localizadas junto à água e ilhas através de atividades de investigação e inovação.",climate; environment,"{""scope""=>""unknown"", ""areas""=>[]}",78,Altamente relevante,"Esta oportunidade é relevante porque aceita autarquias ou entidades públicas como candidatas, tem impacto explícito em comunidades, cidades ou serviços locais, incide em temas relevantes para políticas locais.",Prazo com margem
eu-ft-horizon-miss-2027-07-clima-cit-neb-01,"Urban nature: supporting restoration of urban ecosystems, along urban transport networks and in the built environment  ",Horizon Europe,2027-02-09,2027-09-22,"€40,000,000 total; até €10,000,000/projeto",EU Funding & Tenders Portal,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/horizon-miss-2027-07-clima-cit-neb-01,"",Municípios ou autoridades locais,known,O texto da oportunidade indica requisitos de consórcio ou parceria; confirmar no aviso oficial.,"","O financiamento visa apoiar a restauração de ecossistemas urbanos, focando-se em intervenções ao longo de redes de transportes e no ambiente edificado, promovendo a sustentabilidade e a biodiversidade em contextos citadinos.",environment; mobility; public_space,"{""scope""=>""unknown"", ""areas""=>[]}",78,Altamente relevante,"Esta oportunidade é relevante porque aceita autarquias ou entidades públicas como candidatas, tem impacto explícito em comunidades, cidades ou serviços locais, incide em temas relevantes para políticas locais.",Prazo com margem
eu-ft-horizon-miss-2026-04-cit-neb-b4p-ccri-03,"Introducing circular economy models in the construction sector, from buildings to city scale",Horizon Europe,2026-02-04,2026-10-08,"€47,500,000 total; até €9,500,000/projeto",EU Funding & Tenders Portal,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/horizon-miss-2026-04-cit-neb-b4p-ccri-03,"",Municípios ou autoridades locais,known,O texto da oportunidade indica requisitos de consórcio ou parceria; confirmar no aviso oficial.,"","Este financiamento apoia a implementação de modelos de economia circular no setor da construção, abrangendo desde o nível da edificação até à escala urbana, com o objetivo de promover a sustentabilidade ambiental no desenvolvimento dos centros urbanos.",climate; community_development; environment,"{""scope""=>""unknown"", ""areas""=>[]}",77,Altamente relevante,"Esta oportunidade é relevante porque aceita autarquias ou entidades públicas como candidatas, incide em temas relevantes para políticas locais, tem prazo próximo.",Prazo muito próximo
eu-ft-horizon-cl6-2027-02-communities-01,Strengthening rural communities' resilience to shocks,Horizon Europe,2027-04-20,2027-09-23,"€15,000,000 total; até €5,000,000/projeto",EU Funding & Tenders Portal,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/horizon-cl6-2027-02-communities-01,"",Municípios ou autoridades locais,known,"","",Este financiamento visa apoiar projetos que aumentem a resiliência das comunidades rurais face a choques externos. O apoio destina-se a municípios ou autoridades locais que desenvolvam estratégias e ações capazes de fortalecer a capacidade de resposta e adaptação destes territórios.,community_development,"{""scope""=>""unknown"", ""areas""=>[]}",76,Altamente relevante,"Esta oportunidade é relevante porque aceita autarquias ou entidades públicas como candidatas, tem impacto explícito em comunidades, cidades ou serviços locais, incide em temas relevantes para políticas locais.",Prazo com margem
eu-ft-cerv-2026-citizens-town-tt,Call Town Twinning 2026,CERV,2026-05-06,2026-09-23,"€6,000,000 total",EU Funding & Tenders Portal,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/cerv-2026-citizens-town-tt,"",Municípios ou autoridades locais,known,"","","Este programa apoia projetos de geminação entre municípios de diferentes países, promovendo o intercâmbio cultural, a cidadania ativa e a participação democrática a nível local através da cooperação entre autoridades locais.",civic_participation; community_development,"{""scope""=>""unknown"", ""areas""=>[]}",75,Altamente relevante,"Esta oportunidade é relevante porque aceita autarquias ou entidades públicas como candidatas, incide em temas relevantes para políticas locais, tem prazo próximo.",Prazo muito próximo
eu-ft-horizon-neb-2026-01-business-02,Understanding capital market dynamics for increased investment in New European Bauhaus projects in neighbourhoods,Horizon Europe,2026-05-05,2026-12-01,"€7,000,000 total; até €3,500,000/projeto",EU Funding & Tenders Portal,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/horizon-neb-2026-01-business-02,"",Entidades públicas,known,"","","Este aviso apoia a análise das dinâmicas do mercado de capitais para fomentar o investimento em projetos alinhados com a Nova Bauhaus Europeia em bairros. O financiamento visa potenciar a viabilidade financeira e o desenvolvimento urbano sustentável, estético e inclusivo nestas comunidades.",community_development; public_space,"{""scope""=>""unknown"", ""areas""=>[]}",75,Altamente relevante,"Esta oportunidade é relevante porque aceita autarquias ou entidades públicas como candidatas, tem impacto explícito em comunidades, cidades ou serviços locais, incide em temas relevantes para políticas locais.",Prazo com margem
